SaleID,ProductID,ProductName,Category,QuantitySold,UnitPriceAtSale,Revenue,SaleDate
1,1,Amul Toned Milk 500ml,Dairy,13,28.0,364.0,2026-03-21
2,1,Amul Toned Milk 500ml,Dairy,14,28.0,392.0,2026-03-22
3,1,Amul Toned Milk 500ml,Dairy,16,28.0,448.0,2026-03-23
4,1,Amul Toned Milk 500ml,Dairy,11,28.0,308.0,2026-03-24
5,1,Amul Toned Milk 500ml,Dairy,11,28.0,308.0,2026-03-25
6,1,Amul Toned Milk 500ml,Dairy,9,28.0,252.0,2026-03-26
7,1,Amul Toned Milk 500ml,Dairy,12,28.0,336.0,2026-03-27
8,1,Amul Toned Milk 500ml,Dairy,14,28.0,392.0,2026-03-28
9,1,Amul Toned Milk 500ml,Dairy,11,28.0,308.0,2026-03-29
10,1,Amul Toned Milk 500ml,Dairy,8,28.0,224.0,2026-03-30
11,1,Amul Toned Milk 500ml,Dairy,7,28.0,196.0,2026-03-31
12,1,Amul Toned Milk 500ml,Dairy,15,28.0,420.0,2026-04-01
13,1,Amul Toned Milk 500ml,Dairy,12,28.0,336.0,2026-04-02
14,1,Amul Toned Milk 500ml,Dairy,12,28.0,336.0,2026-04-03
15,1,Amul Toned Milk 500ml,Dairy,15,28.0,420.0,2026-04-04
16,1,Amul Toned Milk 500ml,Dairy,9,28.0,252.0,2026-04-05
17,1,Amul Toned Milk 500ml,Dairy,7,28.0,196.0,2026-04-06
18,1,Amul Toned Milk 500ml,Dairy,18,28.0,504.0,2026-04-07
19,1,Amul Toned Milk 500ml,Dairy,8,28.0,224.0,2026-04-09
20,1,Amul Toned Milk 500ml,Dairy,16,28.0,448.0,2026-04-10
21,1,Amul Toned Milk 500ml,Dairy,13,28.0,364.0,2026-04-11
22,1,Amul Toned Milk 500ml,Dairy,11,28.0,308.0,2026-04-12
23,1,Amul Toned Milk 500ml,Dairy,8,28.0,224.0,2026-04-13
24,1,Amul Toned Milk 500ml,Dairy,8,28.0,224.0,2026-04-14
25,1,Amul Toned Milk 500ml,Dairy,7,28.0,196.0,2026-04-15
26,1,Amul Toned Milk 500ml,Dairy,11,28.0,308.0,2026-04-16
27,1,Amul Toned Milk 500ml,Dairy,6,28.0,168.0,2026-04-17
28,1,Amul Toned Milk 500ml,Dairy,8,28.0,224.0,2026-04-18
29,1,Amul Toned Milk 500ml,Dairy,19,28.0,532.0,2026-04-19
30,1,Amul Toned Milk 500ml,Dairy,13,28.0,364.0,2026-04-20
31,1,Amul Toned Milk 500ml,Dairy,12,28.0,336.0,2026-04-21
32,1,Amul Toned Milk 500ml,Dairy,11,28.0,308.0,2026-04-22
33,1,Amul Toned Milk 500ml,Dairy,13,28.0,364.0,2026-04-23
34,1,Amul Toned Milk 500ml,Dairy,8,28.0,224.0,2026-04-24
35,1,Amul Toned Milk 500ml,Dairy,16,28.0,448.0,2026-04-25
36,1,Amul Toned Milk 500ml,Dairy,7,28.0,196.0,2026-04-26
37,1,Amul Toned Milk 500ml,Dairy,4,28.0,112.0,2026-04-27
38,1,Amul Toned Milk 500ml,Dairy,10,28.0,280.0,2026-04-28
39,1,Amul Toned Milk 500ml,Dairy,8,28.0,224.0,2026-04-29
40,1,Amul Toned Milk 500ml,Dairy,10,28.0,280.0,2026-04-30
41,1,Amul Toned Milk 500ml,Dairy,8,28.0,224.0,2026-05-01
42,1,Amul Toned Milk 500ml,Dairy,5,28.0,140.0,2026-05-02
43,1,Amul Toned Milk 500ml,Dairy,18,28.0,504.0,2026-05-03
44,1,Amul Toned Milk 500ml,Dairy,7,28.0,196.0,2026-05-04
45,1,Amul Toned Milk 500ml,Dairy,10,28.0,280.0,2026-05-05
46,1,Amul Toned Milk 500ml,Dairy,5,28.0,140.0,2026-05-06
47,1,Amul Toned Milk 500ml,Dairy,13,28.0,364.0,2026-05-07
48,1,Amul Toned Milk 500ml,Dairy,12,28.0,336.0,2026-05-08
49,1,Amul Toned Milk 500ml,Dairy,12,28.0,336.0,2026-05-09
50,1,Amul Toned Milk 500ml,Dairy,15,28.0,420.0,2026-05-10
51,1,Amul Toned Milk 500ml,Dairy,7,28.0,196.0,2026-05-11
52,1,Amul Toned Milk 500ml,Dairy,9,28.0,252.0,2026-05-12
53,1,Amul Toned Milk 500ml,Dairy,14,28.0,392.0,2026-05-13
54,1,Amul Toned Milk 500ml,Dairy,5,28.0,140.0,2026-05-14
55,1,Amul Toned Milk 500ml,Dairy,5,28.0,140.0,2026-05-15
56,1,Amul Toned Milk 500ml,Dairy,9,28.0,252.0,2026-05-16
57,1,Amul Toned Milk 500ml,Dairy,16,28.0,448.0,2026-05-17
58,1,Amul Toned Milk 500ml,Dairy,6,28.0,168.0,2026-05-18
59,1,Amul Toned Milk 500ml,Dairy,16,28.0,448.0,2026-05-19
60,1,Amul Toned Milk 500ml,Dairy,11,28.0,308.0,2026-05-20
61,1,Amul Toned Milk 500ml,Dairy,11,28.0,308.0,2026-05-21
62,1,Amul Toned Milk 500ml,Dairy,9,28.0,252.0,2026-05-22
63,1,Amul Toned Milk 500ml,Dairy,9,28.0,252.0,2026-05-23
64,1,Amul Toned Milk 500ml,Dairy,16,28.0,448.0,2026-05-24
65,1,Amul Toned Milk 500ml,Dairy,14,28.0,392.0,2026-05-25
66,1,Amul Toned Milk 500ml,Dairy,11,28.0,308.0,2026-05-26
67,1,Amul Toned Milk 500ml,Dairy,18,28.0,504.0,2026-05-27
68,1,Amul Toned Milk 500ml,Dairy,10,28.0,280.0,2026-05-28
69,1,Amul Toned Milk 500ml,Dairy,11,28.0,308.0,2026-05-29
70,1,Amul Toned Milk 500ml,Dairy,17,28.0,476.0,2026-05-30
71,1,Amul Toned Milk 500ml,Dairy,12,28.0,336.0,2026-05-31
72,1,Amul Toned Milk 500ml,Dairy,12,28.0,336.0,2026-06-01
73,1,Amul Toned Milk 500ml,Dairy,7,28.0,196.0,2026-06-02
